id_a,id_b,short_a,short_b,label_a,label_b,same_label,mode_a,mode_b,activity_a,activity_b,clip_cosine,phash_sim,clip_minus_phash
7b53754b-34cb-5caa-bd5d-074bf0bff058,8fae381b-b939-561a-9b10-8ef4c18f1717,7b53754b,8fae381b,ontask,ontask,1,guardian,guardian,Using an AI coding assistant (Cursor IDE) to review code changes and chat about development tasks.,"The user is working in a code editor (Cursor/VS Code) with multiple panels showing Python code, terminal logs, and docum",0.965357,0.765625,0.199732
7b731675-22bc-5aea-97b4-6e4257cc09e7,94d26614-4322-5882-b6e9-83f76884af64,7b731675,94d26614,ontask,ontask,1,guardian,guardian,browsing files in a directory,Browsing files in a folder named '01 Research',0.960521,0.765625,0.194896
f543a490-cbee-51af-a579-2a0759c93f0f,ffc8db33-1d0f-51a0-99e3-da6f730124d7,f543a490,ffc8db33,ontask,process,0,session,session,shopping online,"The user is searching for the English translation of ""学生协会"" (student association) on Google, with results from Wikipedia",0.951537,0.765625,0.185912
446429a3-e27c-5596-89b7-1cc4f3387044,61a4072b-3d43-5942-a0c8-798559da0890,446429a3,61a4072b,ontask,ontask,1,guardian,guardian,Viewing sheet music and listening to a song on MuseScore,Analyzing sheet music and musical structure in a Notion document,0.941786,0.578125,0.363661
3f304421-40f7-5a0f-88f9-15e514c25442,f543a490-cbee-51af-a579-2a0759c93f0f,3f304421,f543a490,ontask,ontask,1,session,session,using ChatGPT,shopping online,0.934213,0.78125,0.152963
3f304421-40f7-5a0f-88f9-15e514c25442,5c742c5b-29ee-5b52-8d56-d342cffbf8ea,3f304421,5c742c5b,ontask,ontask,1,session,session,using ChatGPT,listening to music,0.928778,0.71875,0.210028
3f304421-40f7-5a0f-88f9-15e514c25442,ffc8db33-1d0f-51a0-99e3-da6f730124d7,3f304421,ffc8db33,ontask,process,0,session,session,using ChatGPT,"The user is searching for the English translation of ""学生协会"" (student association) on Google, with results from Wikipedia",0.919947,0.640625,0.279322
710cf89d-f859-593e-a988-988f41bf6b0f,c2c524d7-8d74-50f7-b4ef-3bb6b946ae82,710cf89d,c2c524d7,ontask,ontask,1,guardian,guardian,"Using a focus agent application with options for breaks, entertainment, and tasks like translation.","The user is on the LeetCode website, working on a coding problem titled ""189. Rotate Array"". A secondary window, titled ",0.918979,0.703125,0.215854
5c742c5b-29ee-5b52-8d56-d342cffbf8ea,f543a490-cbee-51af-a579-2a0759c93f0f,5c742c5b,f543a490,ontask,ontask,1,session,session,listening to music,shopping online,0.909188,0.6875,0.221688
7b53754b-34cb-5caa-bd5d-074bf0bff058,82e251b1-4374-54d7-b5aa-60f5774d6a50,7b53754b,82e251b1,ontask,ontask,1,guardian,guardian,Using an AI coding assistant (Cursor IDE) to review code changes and chat about development tasks.,editing a resume in Overleaf,0.896557,0.578125,0.318432
c2c524d7-8d74-50f7-b4ef-3bb6b946ae82,f543a490-cbee-51af-a579-2a0759c93f0f,c2c524d7,f543a490,ontask,ontask,1,guardian,session,"The user is on the LeetCode website, working on a coding problem titled ""189. Rotate Array"". A secondary window, titled ",shopping online,0.895671,0.65625,0.239421
c2c524d7-8d74-50f7-b4ef-3bb6b946ae82,ffc8db33-1d0f-51a0-99e3-da6f730124d7,c2c524d7,ffc8db33,ontask,process,0,guardian,session,"The user is on the LeetCode website, working on a coding problem titled ""189. Rotate Array"". A secondary window, titled ","The user is searching for the English translation of ""学生协会"" (student association) on Google, with results from Wikipedia",0.894924,0.703125,0.191799
