clip_cosine,phash_sim,short_a,short_b,id_a,id_b,mode_a,mode_b,human_a,human_b,ai_a,ai_b,vlm_same_label,vlm_verdict,ai_model_a,ai_model_b,activity_a,activity_b
0.951537,0.765625,f543a490,ffc8db33,f543a490-cbee-51af-a579-2a0759c93f0f,ffc8db33-1d0f-51a0-99e3-da6f730124d7,session,session,ontask,process,entertainment,entertainment,1,collapsed,,google/gemini-2.5-flash-lite,shopping online,"The user is searching for the English translation of ""学生协会"" (student association) on Google, with results from Wikipedia and Weblio. In the background, there ar"
0.919947,0.640625,3f304421,ffc8db33,3f304421-40f7-5a0f-88f9-15e514c25442,ffc8db33-1d0f-51a0-99e3-da6f730124d7,session,session,ontask,process,ontask,entertainment,0,distinguished_partial,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,using ChatGPT,"The user is searching for the English translation of ""学生协会"" (student association) on Google, with results from Wikipedia and Weblio. In the background, there ar"
0.894924,0.703125,c2c524d7,ffc8db33,c2c524d7-8d74-50f7-b4ef-3bb6b946ae82,ffc8db33-1d0f-51a0-99e3-da6f730124d7,guardian,session,ontask,process,ontask,entertainment,0,distinguished_partial,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,"The user is on the LeetCode website, working on a coding problem titled ""189. Rotate Array"". A secondary window, titled ""FocusGuard Agent"", is also visible, dis","The user is searching for the English translation of ""学生协会"" (student association) on Google, with results from Wikipedia and Weblio. In the background, there ar"
0.877237,0.59375,37433e1f,8330fdcc,37433e1f-7e78-52bb-af11-18977670613a,8330fdcc-f68b-5c52-9abf-30110fed1bae,guardian,guardian,ontask,process,ontask,ontask,1,collapsed,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,Using ChatGPT to write an email,browsing Google
0.869118,0.703125,5c742c5b,ffc8db33,5c742c5b-29ee-5b52-8d56-d342cffbf8ea,ffc8db33-1d0f-51a0-99e3-da6f730124d7,session,session,ontask,process,ontask,entertainment,0,distinguished_partial,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,listening to music,"The user is searching for the English translation of ""学生协会"" (student association) on Google, with results from Wikipedia and Weblio. In the background, there ar"
0.867158,0.546875,3f304421,8330fdcc,3f304421-40f7-5a0f-88f9-15e514c25442,8330fdcc-f68b-5c52-9abf-30110fed1bae,session,guardian,ontask,process,ontask,ontask,1,collapsed,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,using ChatGPT,browsing Google
0.854868,0.546875,8330fdcc,f543a490,8330fdcc-f68b-5c52-9abf-30110fed1bae,f543a490-cbee-51af-a579-2a0759c93f0f,guardian,session,process,ontask,ontask,entertainment,0,distinguished_partial,google/gemini-2.5-flash-lite,,browsing Google,shopping online
0.84023,0.28125,8c0d8dba,bb6bb333,8c0d8dba-5ca5-57d3-b833-d15dd082223e,bb6bb333-8c8f-5ea7-8de3-28f2c76b4b58,guardian,session,entertainment,ontask,entertainment,entertainment,1,collapsed,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,reading a novel,The user is seeing a pop-up window titled 'FocusGuard Agent' with instructions in Chinese. The text indicates 'Rest ended' and prompts the user to enter the nex
0.83703,0.6875,aa018a39,ffc8db33,aa018a39-834b-5c92-9d4d-7d262ab0a940,ffc8db33-1d0f-51a0-99e3-da6f730124d7,guardian,session,ontask,process,ontask,entertainment,0,distinguished_partial,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,Coding and running a script in a terminal,"The user is searching for the English translation of ""学生协会"" (student association) on Google, with results from Wikipedia and Weblio. In the background, there ar"
0.835371,0.359375,8330fdcc,c2c524d7,8330fdcc-f68b-5c52-9abf-30110fed1bae,c2c524d7-8d74-50f7-b4ef-3bb6b946ae82,guardian,guardian,process,ontask,ontask,ontask,1,collapsed,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,browsing Google,"The user is on the LeetCode website, working on a coding problem titled ""189. Rotate Array"". A secondary window, titled ""FocusGuard Agent"", is also visible, dis"
0.828626,0.59375,37433e1f,ffc8db33,37433e1f-7e78-52bb-af11-18977670613a,ffc8db33-1d0f-51a0-99e3-da6f730124d7,guardian,session,ontask,process,ontask,entertainment,0,distinguished_partial,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,Using ChatGPT to write an email,"The user is searching for the English translation of ""学生协会"" (student association) on Google, with results from Wikipedia and Weblio. In the background, there ar"
0.82746,0.53125,710cf89d,ffc8db33,710cf89d-f859-593e-a988-988f41bf6b0f,ffc8db33-1d0f-51a0-99e3-da6f730124d7,guardian,session,ontask,process,ontask,entertainment,0,distinguished_partial,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,"Using a focus agent application with options for breaks, entertainment, and tasks like translation.","The user is searching for the English translation of ""学生协会"" (student association) on Google, with results from Wikipedia and Weblio. In the background, there ar"
